District,RomneyTotal,ObamaTotal,PresTotal,RomneyPct,ObamaPct
01A,10294,8144,18948,0.5433,0.4298
01B,9677,8592,18707,0.5173,0.4593
02A,10135,9728,20307,0.4991,0.4790
02B,11032,8299,19732,0.5591,0.4206
03A,9739,12718,23098,0.4216,0.5506
03B,8895,14047,23419,0.3798,0.5998
04A,8201,10724,19468,0.4213,0.5509
04B,10187,9244,19885,0.5123,0.4649
05A,9332,10599,20454,0.4562,0.5182
05B,10437,10630,21566,0.4840,0.4929
06A,7289,13326,21167,0.3444,0.6296
06B,8277,14253,23131,0.3578,0.6162
07A,7316,16229,24301,0.3011,0.6678
07B,5877,14887,21373,0.2750,0.6965
08A,12922,8601,21940,0.5890,0.3920
08B,12835,8907,22222,0.5776,0.4008
09A,11939,7440,19856,0.6013,0.3747
09B,11765,7322,19536,0.6022,0.3748
10A,11793,9074,21342,0.5526,0.4252
10B,12155,10098,22720,0.5350,0.4445
11A,7326,12732,20555,0.3564,0.6194
11B,9575,8786,18879,0.5072,0.4654
12A,11313,10130,21964,0.5151,0.4612
12B,12669,7423,20499,0.6180,0.3621
13A,12492,9022,21960,0.5689,0.4108
13B,12200,8649,21330,0.5720,0.4055
14A,10124,9610,20227,0.5005,0.4751
14B,8306,10158,19185,0.4329,0.5295
15A,11039,8375,19904,0.5546,0.4208
15B,13361,7414,21329,0.6264,0.3476
16A,10384,9035,19920,0.5213,0.4536
16B,11874,8258,20678,0.5742,0.3994
17A,10166,9428,20043,0.5072,0.4704
17B,10119,9311,19823,0.5105,0.4697
18A,11903,8192,20670,0.5759,0.3963
18B,12054,7359,19955,0.6041,0.3688
19A,9908,11538,22082,0.4487,0.5225
19B,8349,11934,21073,0.3962,0.5663
20A,12326,8621,21431,0.5751,0.4023
20B,9657,11920,22161,0.4358,0.5379
21A,10285,11177,21975,0.4680,0.5086
21B,11350,9289,21159,0.5364,0.4390
22A,11401,8384,20241,0.5633,0.4142
22B,9456,7660,17438,0.5423,0.4393
23A,12246,8135,20892,0.5862,0.3894
23B,10414,9741,20688,0.5034,0.4709
24A,10405,9098,20025,0.5196,0.4543
24B,9149,8499,18135,0.5045,0.4687
25A,11223,9703,21549,0.5208,0.4503
25B,9693,11573,21874,0.4431,0.5291
26A,7518,10893,18997,0.3957,0.5734
26B,12320,10224,23093,0.5335,0.4427
27A,8855,11630,21006,0.4215,0.5537
27B,7106,11257,18849,0.3770,0.5972
28A,8613,11947,21205,0.4062,0.5634
28B,9864,10994,21338,0.4623,0.5152
29A,13311,8340,22205,0.5995,0.3756
29B,11705,8229,20447,0.5725,0.4025
30A,12392,8378,21236,0.5835,0.3945
30B,13426,7929,21785,0.6163,0.3640
31A,13471,7674,21656,0.6220,0.3544
31B,13796,8941,23267,0.5929,0.3843
32A,11700,8451,20669,0.5661,0.4089
32B,12152,9484,22144,0.5488,0.4283
33A,16079,9330,25825,0.6226,0.3613
33B,14132,11301,25913,0.5454,0.4361
34A,13982,9706,24133,0.5794,0.4022
34B,12997,11782,25251,0.5147,0.4666
35A,11290,9796,21667,0.5211,0.4521
35B,13632,9729,23777,0.5733,0.4092
36A,11076,10875,22483,0.4926,0.4837
36B,10149,12009,22563,0.4498,0.5322
37A,9843,11784,22220,0.4430,0.5303
37B,11289,11094,22889,0.4932,0.4847
38A,12288,10072,22880,0.5371,0.4402
38B,13178,11759,25432,0.5182,0.4624
39A,12813,10857,24141,0.5308,0.4497
39B,12048,11373,23869,0.5048,0.4765
40A,4895,11896,17114,0.2860,0.6951
40B,5400,12593,18422,0.2931,0.6836
41A,8418,13080,22037,0.3820,0.5935
41B,7812,13780,22204,0.3518,0.6206
42A,11329,12542,24451,0.4633,0.5129
42B,10135,13935,24626,0.4116,0.5659
43A,9953,13418,23806,0.4181,0.5636
43B,9100,12976,22653,0.4017,0.5728
44A,12729,12058,25178,0.5056,0.4789
44B,11706,14373,26498,0.4418,0.5424
45A,8767,13397,22701,0.3862,0.5902
45B,8416,15537,24589,0.3423,0.6319
46A,8437,16120,25142,0.3356,0.6412
46B,7478,15367,23442,0.3190,0.6555
47A,14263,7988,22681,0.6289,0.3522
47B,12661,9502,22600,0.5602,0.4204
48A,12056,13609,26169,0.4607,0.5200
48B,11964,10813,23194,0.5158,0.4662
49A,12421,13913,26653,0.4660,0.5220
49B,12364,14043,26834,0.4608,0.5233
50A,7117,13364,21025,0.3385,0.6356
50B,9748,13544,23853,0.4087,0.5678
51A,9569,12526,22638,0.4227,0.5533
51B,11506,12651,24664,0.4665,0.5129
52A,9195,13732,23467,0.3918,0.5852
52B,10391,12118,22991,0.4520,0.5271
53A,9467,12889,22837,0.4145,0.5644
53B,12242,11023,23622,0.5182,0.4666
54A,9017,12067,21692,0.4157,0.5563
54B,11045,11176,22740,0.4857,0.4915
55A,10155,9077,19717,0.5150,0.4604
55B,13999,8869,23345,0.5997,0.3799
56A,11202,10411,22110,0.5066,0.4709
56B,11124,11190,22806,0.4878,0.4907
57A,10810,11611,22916,0.4717,0.5067
57B,11856,11644,23949,0.4951,0.4862
58A,12665,9550,22671,0.5586,0.4212
58B,12473,9501,22436,0.5559,0.4235
59A,2569,15497,18470,0.1391,0.8390
59B,3502,16389,20393,0.1717,0.8037
60A,4259,17733,23000,0.1852,0.7710
60B,3890,15390,20267,0.1919,0.7594
61A,5338,21527,27607,0.1934,0.7798
61B,5331,20902,26809,0.1989,0.7797
62A,1474,13802,16013,0.0921,0.8619
62B,2040,17568,20288,0.1006,0.8659
63A,3547,20511,24834,0.1428,0.8259
63B,5865,18048,24519,0.2392,0.7361
64A,5076,19226,25098,0.2022,0.7660
64B,7164,18483,26253,0.2729,0.7040
65A,2452,14923,17884,0.1371,0.8344
65B,3755,14793,19166,0.1959,0.7718
66A,7783,16077,24474,0.3180,0.6569
66B,3176,13251,16881,0.1881,0.7850
67A,3377,11789,15561,0.2170,0.7576
67B,3853,12521,16815,0.2291,0.7446
